"ISO3","Name","color"
"SAU","Saudi Arabia","#FF6666"
"IDN","Indonesia","#090580"
"CHN","China","#FF78C4"
"BRA","Brazil","#5C8984"
"USA","United States","#FF8551"
"COD","Congo, the Democratic Republic o","#40128B"
